date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2014-11-01,,Purdue,W (35-14),8,21,38.1,118,1,51,179,3.5,4,72,297,4.1,6,10,1,17,3,30,1,2,3
2014-11-15,@,Wisconsin,L (24-59),6,18,33.3,62,1,46,118,2.6,2,64,180,2.8,3,7,2,12,7,55,4,1,5
2014-11-22,,Minnesota,L (24-28),12,20,60.0,223,1,38,174,4.6,1,58,397,6.8,7,10,1,18,3,25,2,0,2
2014-11-28,@,Iowa,W (37-34),12,28,42.9,202,4,31,161,5.2,0,59,363,6.2,8,4,1,13,5,49,0,2,2
2014-12-27,N,Southern California*,L (42-45),32,51,62.7,381,3,43,144,3.3,2,94,525,5.6,16,9,3,28,7,45,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-05,,Brigham Young,L (28-33),24,41,58.5,319,3,37,126,3.4,1,78,445,5.7,16,9,0,25,12,90,1,1,2
2015-09-12,,South Alabama,W (48-9),26,38,68.4,303,3,37,258,7.0,3,75,561,7.5,16,14,1,31,7,80,0,1,1
2015-09-19,@,Miami (FL),L (33-36),21,45,46.7,309,4,32,153,4.8,0,77,462,6.0,12,8,4,24,12,98,0,3,3
2015-09-26,,Southern Mississippi,W (36-28),23,35,65.7,368,2,39,242,6.2,1,74,610,8.2,14,10,1,25,12,98,1,1,2
2015-10-03,@,Illinois,L (13-14),10,31,32.3,105,0,34,187,5.5,1,65,292,4.5,2,9,1,12,6,42,1,1,2
2015-10-10,,Wisconsin,L (21-23),11,28,39.3,129,1,37,196,5.3,2,65,325,5.0,7,5,1,13,9,89,1,0,1
2015-10-17,@,Minnesota,W (48-25),18,26,69.2,261,3,39,203,5.2,2,65,464,7.1,14,8,1,23,2,25,0,0,0
2015-10-24,,Northwestern,L (28-30),24,48,50.0,291,1,38,82,2.2,2,86,373,4.3,13,6,3,22,6,64,0,1,1
2015-10-31,@,Purdue,L (45-55),29,48,60.4,407,4,29,77,2.7,2,77,484,6.3,22,3,3,28,7,40,1,4,5
2015-11-07,,Michigan State,W (39-38),19,33,57.6,320,2,36,179,5.0,3,69,499,7.2,12,11,1,24,5,55,0,2,2
2015-11-14,@,Rutgers,W (31-14),14,21,66.7,188,3,38,174,4.6,1,59,362,6.1,8,7,1,16,2,15,0,3,3
2015-11-27,,Iowa,L (20-28),25,45,55.6,296,0,38,137,3.6,2,83,433,5.2,14,7,1,22,8,95,0,4,4
2015-12-26,N,UCLA*,W (37-29),12,19,63.2,174,1,62,326,5.3,4,81,500,6.2,10,17,4,31,6,38,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-03,,Fresno State,W (43-10),6,13,46.2,114,1,51,292,5.7,5,64,406,6.3,4,15,1,20,7,80,0,0,0
2016-09-10,,Wyoming,W (52-17),21,35,60.0,412,4,43,138,3.2,2,78,550,7.1,17,5,3,25,7,93,0,1,1
2016-09-17,,Oregon,W (35-32),17,35,48.6,200,3,47,228,4.9,2,82,428,5.2,10,12,4,26,7,55,1,0,1
2016-09-24,@,Northwestern,W (24-13),18,29,62.1,246,1,47,310,6.6,2,76,556,7.3,12,12,2,26,4,60,2,0,2
2016-10-01,,Illinois,W (31-16),16,23,69.6,220,1,49,203,4.1,3,72,423,5.9,12,9,2,23,3,35,1,1,2
2016-10-15,@,Indiana,W (27-22),10,26,38.5,208,1,45,152,3.4,1,71,360,5.1,8,9,0,17,9,53,0,2,2
2016-10-22,,Purdue,W (27-14),17,31,54.8,252,1,36,158,4.4,2,67,410,6.1,11,10,1,22,7,67,0,1,1
2016-10-29,@,Wisconsin,L (17-23),12,31,38.7,153,0,44,152,3.5,2,75,305,4.1,9,7,0,16,2,10,0,2,2
2016-11-05,@,Ohio State,L (3-62),9,33,27.3,126,0,24,78,3.3,0,57,204,3.6,6,2,1,9,4,43,0,2,2
2016-11-12,,Minnesota,W (24-17),19,28,67.9,217,2,32,157,4.9,1,60,374,6.2,10,9,0,19,8,81,0,0,0
2016-11-19,,Maryland,W (28-7),23,37,62.2,220,1,45,181,4.0,3,82,401,4.9,13,11,4,28,2,20,0,0,0
2016-11-25,@,Iowa,L (10-40),14,37,37.8,127,1,31,90,2.9,0,68,217,3.2,8,6,3,17,8,57,0,0,0
2016-12-30,N,Tennessee*,L (24-38),19,42,45.2,257,2,28,61,2.2,1,70,318,4.5,12,5,1,18,7,41,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02,,Arkansas State,W (43-36),19,32,59.4,238,2,38,225,5.9,2,70,463,6.6,14,10,1,25,8,75,0,0,0
2017-09-09,@,Oregon,L (35-42),19,41,46.3,252,3,29,109,3.8,2,70,361,5.2,11,6,2,19,3,25,0,4,4
2017-09-16,,Northern Illinois,L (17-21),25,47,53.2,299,0,36,85,2.4,2,83,384,4.6,12,6,0,18,5,48,0,3,3
2017-09-23,,Rutgers,W (27-17),13,26,50.0,109,2,47,197,4.2,1,73,306,4.2,8,11,2,21,6,46,0,2,2
2017-09-29,@,Illinois,W (28-6),17,24,70.8,246,3,38,165,4.3,1,62,411,6.6,12,9,2,23,5,70,1,0,1
2017-10-07,,Wisconsin,L (17-38),18,35,51.4,271,1,26,110,4.2,0,61,381,6.2,10,5,1,16,4,35,1,1,2
2017-10-14,,Ohio State,L (14-56),27,47,57.4,349,2,16,44,2.8,0,63,393,6.2,12,2,0,14,12,104,0,1,1
2017-10-28,@,Purdue,W (25-24),32,50,64.0,431,2,27,40,1.5,0,77,471,6.1,16,5,4,25,9,95,0,0,0
2017-11-04,,Northwestern,L (24-31),21,38,55.3,225,2,31,112,3.6,0,69,337,4.9,12,7,2,21,7,68,0,3,3
2017-11-11,@,Minnesota,L (21-54),25,36,69.4,311,1,33,69,2.1,2,69,380,5.5,13,5,2,20,4,54,0,0,0
2017-11-18,@,Penn State,L (44-56),26,41,63.4,399,2,26,67,2.6,3,67,466,7.0,16,4,1,21,9,89,0,0,0
2017-11-24,,Iowa,L (14-56),23,42,54.8,200,2,21,67,3.2,0,63,267,4.2,9,3,0,12,3,19,0,3,3
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-08,,Colorado,L (28-33),19,29,65.5,236,1,54,329,6.1,3,83,565,6.8,9,13,3,25,11,95,2,1,3
2018-09-15,,Troy,L (19-24),19,27,70.4,177,2,48,187,3.9,0,75,364,4.9,7,12,3,22,10,77,1,2,3
2018-09-22,@,Michigan,L (10-56),13,24,54.2,93,0,30,39,1.3,1,54,132,2.4,4,5,3,12,10,79,1,1,2
2018-09-29,,Purdue,L (28-42),25,42,59.5,323,2,39,259,6.6,2,81,582,7.2,16,14,1,31,11,136,0,1,1
2018-10-06,@,Wisconsin,L (24-41),26,44,59.1,407,2,24,111,4.6,1,68,518,7.6,17,7,2,26,10,100,1,0,1
2018-10-13,@,Northwestern,L (31-34),25,35,71.4,251,1,47,231,4.9,3,82,482,5.9,9,15,0,24,9,89,1,2,3
2018-10-20,,Minnesota,W (53-28),25,30,83.3,276,3,43,383,8.9,4,73,659,9.0,9,18,1,28,6,43,1,0,1
2018-10-27,,Bethune-Cookman,W (45-9),17,31,54.8,242,2,33,226,6.8,3,64,468,7.3,11,12,0,23,5,35,0,2,2
2018-11-03,@,Ohio State,L (31-36),22,33,66.7,266,1,49,184,3.8,3,82,450,5.5,14,11,2,27,5,44,1,0,1
2018-11-10,,Illinois,W (54-35),24,34,70.6,290,3,34,316,9.3,4,68,606,8.9,12,9,1,22,7,72,1,1,2
2018-11-17,,Michigan State,W (9-6),16,37,43.2,145,0,30,103,3.4,0,67,248,3.7,8,5,1,14,5,45,2,0,2
2018-11-23,@,Iowa,L (28-31),26,38,68.4,260,2,33,140,4.2,1,71,400,5.6,14,9,1,24,3,35,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-31,,South Alabama,W (35-21),13,22,59.1,178,0,44,98,2.2,2,66,276,4.2,8,6,1,15,8,64,2,1,3
2019-09-07,@,Colorado,L (31-34),16,26,61.5,290,2,46,179,3.9,2,72,469,6.5,8,9,2,19,7,65,2,1,3
2019-09-14,,Northern Illinois,W (44-8),19,32,59.4,287,2,33,238,7.2,4,65,525,8.1,11,11,1,22,1,15,1,0,1
2019-09-21,@,Illinois,W (42-38),22,34,64.7,328,3,61,357,5.9,3,95,685,7.2,13,18,1,32,10,70,4,0,4
2019-09-28,,Ohio State,L (7-48),8,17,47.1,47,0,39,184,4.7,1,56,231,4.1,2,12,1,15,6,57,0,3,3
2019-10-05,,Northwestern,W (13-10),15,25,60.0,186,0,40,133,3.3,1,65,319,4.9,6,5,1,12,8,74,0,0,0
2019-10-12,@,Minnesota,L (7-34),15,29,51.7,148,0,43,151,3.5,1,72,299,4.2,5,10,1,16,5,33,0,0,0
2019-10-26,,Indiana,L (31-38),20,23,87.0,294,1,50,220,4.4,3,73,514,7.0,11,11,4,26,6,44,2,0,2
2019-11-02,@,Purdue,L (27-31),22,39,56.4,247,0,35,128,3.7,3,74,375,5.1,11,6,4,21,3,30,0,1,1
2019-11-16,,Wisconsin,L (21-37),13,23,56.5,220,1,36,277,7.7,2,59,497,8.4,9,13,1,23,3,31,0,1,1
2019-11-23,@,Maryland,W (54-7),19,30,63.3,226,2,57,305,5.4,4,87,531,6.1,18,12,1,31,1,10,0,1,1
2019-11-29,,Iowa,L (24-27),12,23,52.2,100,1,56,184,3.3,1,79,284,3.6,5,11,2,18,3,25,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,@,Ohio State,L (17-52),16,20,80.0,160,0,36,210,5.8,2,56,370,6.6,6,11,0,17,8,90,2,0,2
2020-11-07,@,Northwestern,L (13-21),24,45,53.3,218,0,43,224,5.2,1,88,442,5.0,10,14,4,28,9,55,0,2,2
2020-11-14,,Penn State,W (30-23),13,21,61.9,152,1,39,146,3.7,1,60,298,5.0,6,9,2,17,5,39,0,1,1
2020-11-21,,Illinois,L (23-41),18,30,60.0,177,1,44,215,4.9,2,74,392,5.3,10,14,1,25,7,66,2,3,5
2020-11-27,@,Iowa,L (20-26),21,25,84.0,195,0,38,143,3.8,2,63,338,5.4,8,12,0,20,4,40,2,0,2
2020-12-05,@,Purdue,W (37-27),24,31,77.4,253,1,40,111,2.8,3,71,364,5.1,12,5,3,20,9,107,0,0,0
2020-12-12,,Minnesota,L (17-24),16,29,55.2,111,1,36,197,5.5,1,65,308,4.7,4,11,2,17,3,32,1,1,2
2020-12-18,@,Rutgers,W (28-21),24,28,85.7,255,1,58,365,6.3,3,86,620,7.2,12,15,0,27,9,56,2,2,4
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,@,Illinois,L (22-30),16,32,50.0,232,1,39,160,4.1,2,71,392,5.5,10,8,1,19,5,67,1,0,1
2021-09-04,,Fordham,W (52-7),21,30,70.0,304,1,65,329,5.1,6,95,633,6.7,14,20,0,34,2,10,2,0,2
2021-09-11,,Buffalo,W (28-3),14,20,70.0,296,2,41,220,5.4,2,61,516,8.5,7,9,3,19,9,71,1,0,1
2021-09-18,@,Oklahoma,L (16-23),19,25,76.0,289,1,38,95,2.5,1,63,384,6.1,13,4,1,18,8,70,0,1,1
2021-09-25,@,Michigan State,L (20-23),25,36,69.4,248,0,50,194,3.9,2,86,442,5.1,13,12,1,26,6,40,1,1,2
2021-10-02,,Northwestern,W (56-7),15,21,71.4,230,1,53,427,8.1,7,74,657,8.9,8,18,2,28,4,19,0,0,0
2021-10-09,,Michigan,L (29-32),18,28,64.3,291,3,32,140,4.4,1,60,431,7.2,12,5,2,19,6,47,1,1,2
2021-10-16,@,Minnesota,L (23-30),18,33,54.5,241,1,31,136,4.4,2,64,377,5.9,12,6,1,19,3,25,0,0,0
2021-10-30,,Purdue,L (23-28),14,29,48.3,269,2,29,130,4.5,1,58,399,6.9,12,6,1,19,4,38,0,4,4
2021-11-06,,Ohio State,L (17-26),16,31,51.6,248,1,34,113,3.3,1,65,361,5.6,8,8,2,18,6,60,0,1,1
2021-11-20,@,Wisconsin,L (28-35),23,35,65.7,351,1,35,101,2.9,3,70,452,6.5,16,5,2,23,5,43,0,2,2
2021-11-26,,Iowa,L (21-28),16,22,72.7,198,0,43,129,3.0,3,65,327,5.0,9,8,1,18,5,50,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,N,Northwestern,L (28-31),25,42,59.5,355,1,31,110,3.5,3,73,465,6.4,16,4,3,23,1,5,1,2,3
2022-09-03,,North Dakota,W (38-17),14,21,66.7,193,2,41,244,6.0,3,62,437,7.0,9,15,2,26,7,45,1,1,2
2022-09-10,,Georgia Southern,L (42-45),23,34,67.6,318,1,47,257,5.5,5,81,575,7.1,16,17,0,33,10,77,0,0,0
2022-09-17,,Oklahoma,L (14-49),21,31,67.7,164,1,45,163,3.6,1,76,327,4.3,7,11,3,21,5,40,1,1,2
2022-10-01,,Indiana,W (35-21),18,27,66.7,270,2,51,115,2.3,2,78,385,4.9,12,7,3,22,12,111,1,1,2
2022-10-07,@,Rutgers,W (14-13),24,37,64.9,232,2,29,72,2.5,0,66,304,4.6,11,4,3,18,9,67,0,2,2
2022-10-15,@,Purdue,L (37-43),16,29,55.2,354,2,23,122,5.3,2,52,476,9.2,9,5,1,15,4,40,0,2,2
2022-10-29,,Illinois,L (9-26),11,24,45.8,188,1,25,60,2.4,0,49,248,5.1,5,3,1,9,3,30,1,3,4
2022-11-05,,Minnesota,L (13-20),11,25,44.0,121,0,35,146,4.2,1,60,267,4.5,5,8,0,13,2,10,0,1,1
2022-11-12,@,Michigan,L (3-34),10,20,50.0,71,0,29,75,2.6,0,49,146,3.0,4,3,1,8,4,30,0,0,0
2022-11-19,,Wisconsin,L (14-15),12,20,60.0,106,2,29,65,2.2,0,49,171,3.5,6,4,2,12,2,15,0,0,0
2022-11-25,@,Iowa,W (24-17),20,30,66.7,278,3,35,51,1.5,0,65,329,5.1,11,3,3,17,6,40,1,0,1
