school,link
Richmond,/cfb/schools/richmond/
Rutgers,/cfb/schools/rutgers/
Saint Louis,/cfb/schools/saint-louis/
Saint Mary's (CA),/cfb/schools/saint-marys-ca/
Saint Mary's (CA) Pre-Flight,/cfb/schools/saint-marys-ca-pre-flight/
Sam Houston,/cfb/schools/sam-houston-state/
Samford,/cfb/schools/samford/
San Diego State,/cfb/schools/san-diego-state/
San Francisco,/cfb/schools/san-francisco/
San Jose State,/cfb/schools/san-jose-state/
Santa Clara,/cfb/schools/santa-clara/
Second Air Force,/cfb/schools/second-air-force/
Sewanee,/cfb/schools/sewanee/
Simpson,/cfb/schools/simpson/
SMU,/cfb/schools/southern-methodist/
South Alabama,/cfb/schools/south-alabama/
South Carolina,/cfb/schools/south-carolina/
South Florida,/cfb/schools/south-florida/
Southern,/cfb/schools/southern/
Southern Illinois,/cfb/schools/southern-illinois/
Southern Mississippi,/cfb/schools/southern-mississippi/
Southwestern (TX),/cfb/schools/southwestern-tx/
Spring Hill,/cfb/schools/spring-hill/
Springfield,/cfb/schools/springfield/
Stanford,/cfb/schools/stanford/
Stevens,/cfb/schools/stevens/
Swarthmore,/cfb/schools/swarthmore/
Syracuse,/cfb/schools/syracuse/
Tampa,/cfb/schools/tampa/
Temple,/cfb/schools/temple/
Tennessee,/cfb/schools/tennessee/
Tennessee Medical College,/cfb/schools/tennessee-medical-college/
Tennessee State,/cfb/schools/tennessee-state/
Texas,/cfb/schools/texas/
Texas A&M,/cfb/schools/texas-am/
Texas Christian,/cfb/schools/texas-christian/
Texas Southern,/cfb/schools/texas-southern/
Texas State,/cfb/schools/texas-state/
Texas Tech,/cfb/schools/texas-tech/
Texas-Arlington,/cfb/schools/texas-arlington/
The Citadel,/cfb/schools/citadel/
Toledo,/cfb/schools/toledo/
Trinity (CT),/cfb/schools/trinity-ct/
Troy,/cfb/schools/troy/
Tufts,/cfb/schools/tufts/
Tulane,/cfb/schools/tulane/
Tulsa,/cfb/schools/tulsa/
UAB,/cfb/schools/alabama-birmingham/
UCF,/cfb/schools/central-florida/
UCLA,/cfb/schools/ucla/
Union (NY),/cfb/schools/union-ny/
USC,/cfb/schools/southern-california/
Utah,/cfb/schools/utah/
Utah State,/cfb/schools/utah-state/
UTEP,/cfb/schools/texas-el-paso/
UTSA,/cfb/schools/texas-san-antonio/
Vanderbilt,/cfb/schools/vanderbilt/
Vermont,/cfb/schools/vermont/
Villanova,/cfb/schools/villanova/
Virginia,/cfb/schools/virginia/
Virginia Military Institute,/cfb/schools/virginia-military-institute/
Virginia Tech,/cfb/schools/virginia-tech/
Wabash,/cfb/schools/wabash/
Wake Forest,/cfb/schools/wake-forest/
Washburn,/cfb/schools/washburn/
Washington,/cfb/schools/washington/
Washington & Jefferson,/cfb/schools/washington-jefferson/
Washington & Lee,/cfb/schools/washington-lee/
Washington (MO),/cfb/schools/washington-mo/
Washington State,/cfb/schools/washington-state/
Wesleyan (CT),/cfb/schools/wesleyan-ct/
West Texas State,/cfb/schools/west-texas-am/
West Virginia,/cfb/schools/west-virginia/
West Virginia Wesleyan,/cfb/schools/west-virginia-wesleyan/
Western Carolina,/cfb/schools/western-carolina/
Western Kentucky,/cfb/schools/western-kentucky/
Western Michigan,/cfb/schools/western-michigan/
Western State,/cfb/schools/western-state/
Whitman,/cfb/schools/whitman/
Wichita State,/cfb/schools/wichita-state/
William & Mary,/cfb/schools/william-mary/
Williams,/cfb/schools/williams/
Wisconsin,/cfb/schools/wisconsin/
Wofford,/cfb/schools/wofford/
WPI,/cfb/schools/wpi/
Wyoming,/cfb/schools/wyoming/
Xavier,/cfb/schools/xavier/
Yale,/cfb/schools/yale/
