date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers,outcome,points_for,points_against
2021-09-11,home,Buffalo,W (28-3),14,20,70.0,296,2,41,220,5.4,2,61,516,8.5,7,9,3,19,9,71,1,0,1,W,28,3
2021-09-18,away,Oklahoma,L (16-23),19,25,76.0,289,1,38,95,2.5,1,63,384,6.1,13,4,1,18,8,70,0,1,1,L,16,23
2021-09-25,away,Michigan State,L (20-23),25,36,69.4,248,0,50,194,3.9,2,86,442,5.1,13,12,1,26,6,40,1,1,2,L,20,23
2021-10-02,home,Northwestern,W (56-7),15,21,71.4,230,1,53,427,8.1,7,74,657,8.9,8,18,2,28,4,19,0,0,0,W,56,7
2021-10-09,home,Michigan,L (29-32),18,28,64.3,291,3,32,140,4.4,1,60,431,7.2,12,5,2,19,6,47,1,1,2,L,29,32
2021-10-16,away,Minnesota,L (23-30),18,33,54.5,241,1,31,136,4.4,2,64,377,5.9,12,6,1,19,3,25,0,0,0,L,23,30
2021-10-30,home,Purdue,L (23-28),14,29,48.3,269,2,29,130,4.5,1,58,399,6.9,12,6,1,19,4,38,0,4,4,L,23,28
2021-11-06,home,Ohio State,L (17-26),16,31,51.6,248,1,34,113,3.3,1,65,361,5.6,8,8,2,18,6,60,0,1,1,L,17,26
2021-11-20,away,Wisconsin,L (28-35),23,35,65.7,351,1,35,101,2.9,3,70,452,6.5,16,5,2,23,5,43,0,2,2,L,28,35
2021-11-26,home,Iowa,L (21-28),16,22,72.7,198,0,43,129,3.0,3,65,327,5.0,9,8,1,18,5,50,1,1,2,L,21,28
2022-08-27,N,Northwestern,L (28-31),25,42,59.5,355,1,31,110,3.5,3,73,465,6.4,16,4,3,23,1,5,1,2,3,L,28,31
2022-09-03,home,North Dakota,W (38-17),14,21,66.7,193,2,41,244,6.0,3,62,437,7.0,9,15,2,26,7,45,1,1,2,W,38,17
